 NLC, station_name, time_period,NR_DLR_Tram         ,Bus_Coach           ,Bicycle             ,Motorcycle          ,Car_Van_Parked      ,Car_Van_driven_away ,Walked              ,Taxi_Minicab        ,RiverBus_Ferry      ,Other               ,Not_Stated          ,Heathrow_Terminal_1 ,Heathrow_Terminal_2 ,Heathrow_Terminal_3 ,Heathrow_Terminal_4 ,Heathrow_Terminal_5 ,Total_all_modes
500,Acton Town          ,Early       ,0,126,0,0,13,6,348,0,0,0,31,0,0,0,0,0,524
500,Acton Town          ,AM peak     ,0,403,41,0,114,21,2339,2,0,0,113,0,0,0,0,0,3032
500,Acton Town          ,Midday      ,0,153,0,0,121,185,1405,0,0,0,674,0,0,0,0,0,2537
500,Acton Town          ,PM Peak     ,0,199,0,0,109,23,925,0,0,0,414,0,0,0,0,0,1670
500,Acton Town          ,Evening     ,0,78,1,0,45,75,323,0,0,0,93,0,0,0,0,0,614
500,Acton Town          ,Late        ,0,65,0,0,0,8,113,0,0,0,34,0,0,0,0,0,220
500,Acton Town          ,   Total day,0,1023,43,0,402,317,5453,2,0,0,1358,0,0,0,0,0,8598
502,Aldgate             ,Early       ,78,49,0,0,0,3,13,0,0,0,9,0,0,0,0,0,151
502,Aldgate             ,AM peak     ,728,347,0,0,8,11,609,0,0,0,147,0,0,0,0,0,1850
502,Aldgate             ,Midday      ,108,124,0,0,0,31,1328,0,0,0,528,0,0,0,0,0,2119
502,Aldgate             ,PM Peak     ,65,108,0,0,0,0,4578,23,0,0,382,0,0,0,0,0,5157
502,Aldgate             ,Evening     ,20,24,0,0,0,0,1015,0,0,0,89,0,0,0,0,0,1147
502,Aldgate             ,Late        ,1,10,0,0,0,0,308,0,0,0,0,0,0,0,0,0,319
502,Aldgate             ,   Total day,1001,662,0,0,8,44,7850,23,0,0,1154,0,0,0,0,0,10743
503,Aldgate East        ,Early       ,0,39,0,0,0,1,136,0,0,0,19,0,0,0,0,0,194
503,Aldgate East        ,AM peak     ,0,73,4,0,0,43,1602,0,0,0,474,0,0,0,0,0,2196
503,Aldgate East        ,Midday      ,0,52,0,0,20,0,3111,25,0,0,1407,0,0,0,0,0,4615
503,Aldgate East        ,PM Peak     ,0,139,0,0,0,0,3755,0,0,0,1303,0,0,0,0,0,5197
503,Aldgate East        ,Evening     ,0,0,0,0,0,0,1986,0,0,0,382,0,0,0,0,0,2368
503,Aldgate East        ,Late        ,0,2,0,0,0,9,183,17,0,0,41,0,0,0,0,0,252
503,Aldgate East        ,   Total day,0,304,4,0,20,54,10772,42,0,0,3626,0,0,0,0,0,14823
505,Alperton            ,Early       ,0,129,0,0,14,56,184,0,0,0,0,0,0,0,0,0,383
505,Alperton            ,AM peak     ,0,363,0,0,94,165,1004,0,0,0,9,0,0,0,0,0,1636
505,Alperton            ,Midday      ,0,194,0,0,0,0,999,0,0,0,46,0,0,0,0,0,1239
505,Alperton            ,PM Peak     ,0,382,0,0,0,14,477,0,0,0,0,0,0,0,0,0,872
505,Alperton            ,Evening     ,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,312
505,Alperton            ,Late        ,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,89
505,Alperton            ,   Total day,0,1068,0,0,108,235,3065,0,0,0,55,0,0,0,0,0,4531
506,Amersham            ,Early       ,1,0,10,1,127,40,137,0,0,0,0,0,0,0,0,0,316
506,Amersham            ,AM peak     ,116,4,50,7,368,280,661,0,0,0,5,0,0,0,0,0,1490
506,Amersham            ,Midday      ,14,21,2,0,165,50,309,27,0,0,35,0,0,0,0,0,623
506,Amersham            ,PM Peak     ,0,36,0,0,217,33,103,1,0,0,30,0,0,0,0,0,419
506,Amersham            ,Evening     ,0,0,0,0,31,8,0,0,0,0,0,0,0,0,0,0,39
506,Amersham            ,Late        ,0,0,0,0,1,10,11,0,0,0,0,0,0,0,0,0,22
506,Amersham            ,   Total day,130,61,62,8,909,422,1221,28,0,0,70,0,0,0,0,0,2910
507,Angel               ,Early       ,0,127,0,0,0,4,173,0,0,0,17,0,0,0,0,0,321
507,Angel               ,AM peak     ,0,1291,0,0,40,67,2870,0,0,0,322,0,0,0,0,0,4590
507,Angel               ,Midday      ,0,1426,0,11,6,0,4832,0,0,0,1017,0,0,0,0,0,7293
507,Angel               ,PM Peak     ,0,781,0,0,30,21,6961,47,0,0,808,0,0,0,0,0,8649
507,Angel               ,Evening     ,0,355,0,23,0,55,3220,0,0,0,372,0,0,0,0,0,4025
507,Angel               ,Late        ,0,83,0,0,0,78,2491,77,0,0,167,0,0,0,0,0,2896
507,Angel               ,   Total day,0,4064,0,34,76,226,20547,124,0,0,2703,0,0,0,0,0,27772
508,Archway             ,Early       ,0,26,0,0,0,10,343,0,0,0,0,0,0,0,0,0,379
508,Archway             ,AM peak     ,91,692,0,0,83,55,3630,0,0,0,185,0,0,0,0,0,4736
508,Archway             ,Midday      ,0,724,0,0,45,0,3059,0,0,0,97,0,0,0,0,0,3925
508,Archway             ,PM Peak     ,0,283,0,0,0,6,2427,17,0,0,231,0,0,0,0,0,2964
508,Archway             ,Evening     ,33,236,0,0,0,22,643,0,0,0,60,0,0,0,0,0,995
508,Archway             ,Late        ,0,90,0,0,0,8,256,0,0,0,8,0,0,0,0,0,362
508,Archway             ,   Total day,123,2051,0,0,129,101,10359,17,0,0,581,0,0,0,0,0,13361
509,Arnos Grove         ,Early       ,0,124,0,0,133,67,131,0,0,0,0,0,0,0,0,0,456
509,Arnos Grove         ,AM peak     ,0,1055,6,0,713,280,964,0,0,0,0,0,0,0,0,0,3018
509,Arnos Grove         ,Midday      ,0,437,4,0,404,209,760,0,0,0,56,0,0,0,0,0,1870
509,Arnos Grove         ,PM Peak     ,0,257,0,0,222,99,372,0,0,0,167,0,0,0,0,0,1115
509,Arnos Grove         ,Evening     ,0,70,0,0,79,59,158,0,0,0,10,0,0,0,0,0,376
509,Arnos Grove         ,Late        ,0,22,0,0,3,52,8,0,0,0,19,0,0,0,0,0,103
509,Arnos Grove         ,   Total day,0,1965,10,0,1553,767,2392,0,0,0,251,0,0,0,0,0,6938
510,Arsenal             ,Early       ,0,0,0,0,10,11,105,3,0,0,6,0,0,0,0,0,136
510,Arsenal             ,AM peak     ,0,0,8,0,137,29,1861,22,0,0,28,0,0,0,0,0,2085
510,Arsenal             ,Midday      ,0,0,77,0,103,0,868,26,0,0,117,0,0,0,0,0,1191
510,Arsenal             ,PM Peak     ,0,0,0,0,85,14,864,0,0,0,148,0,0,0,0,0,1111
510,Arsenal             ,Evening     ,0,5,0,0,0,0,281,0,0,0,3,0,0,0,0,0,288
510,Arsenal             ,Late        ,0,0,0,0,0,0,101,0,0,0,7,0,0,0,0,0,108
510,Arsenal             ,   Total day,0,5,85,0,335,54,4081,51,0,0,309,0,0,0,0,0,4919
