fields,object
agent_circuit_id,fixedaddress
agent_remote_id,fixedaddress
always_update_dns,fixedaddress
bootfile,fixedaddress
bootserver,fixedaddress
client_identifier_prepend_zero,fixedaddress
comment,fixedaddress
ddns_domainname,fixedaddress
ddns_hostname,fixedaddress
deny_bootp,fixedaddress
dhcp_client_identifier,fixedaddress
disable,fixedaddress
discovered_data,fixedaddress
enable_ddns,fixedaddress
extattrs,fixedaddress
ignore_dhcp_option_list_request,fixedaddress
ipv4addr,fixedaddress
mac,fixedaddress
match_client,fixedaddress
ms_options,fixedaddress
ms_server,fixedaddress
name,fixedaddress
network,fixedaddress
network_view,fixedaddress
nextserver,fixedaddress
options,fixedaddress
pxe_lease_time,fixedaddress
template,fixedaddress
use_bootfile,fixedaddress
use_bootserver,fixedaddress
use_ddns_domainname,fixedaddress
use_deny_bootp,fixedaddress
use_enable_ddns,fixedaddress
use_ignore_dhcp_option_list_request,fixedaddress
use_nextserver,fixedaddress
use_options,fixedaddress
dhcp_client_identifier,ipv4address
extattrs,ipv4address
fingerprint,ipv4address
ip_address,ipv4address
is_conflict,ipv4address
lease_state,ipv4address
mac_address,ipv4address
names,ipv4address
network,ipv4address
network_view,ipv4address
objects,ipv4address
status,ipv4address
types,ipv4address
usage,ipv4address
username,ipv4address
duid,ipv6address
extattrs,ipv6address
ip_address,ipv6address
is_conflict,ipv6address
lease_state,ipv6address
names,ipv6address
network,ipv6address
network_view,ipv6address
objects,ipv6address
status,ipv6address
types,ipv6address
usage,ipv6address
address_type,ipv6fixedaddress
comment,ipv6fixedaddress
disable,ipv6fixedaddress
discovered_data,ipv6fixedaddress
domain_name,ipv6fixedaddress
domain_name_servers,ipv6fixedaddress
duid,ipv6fixedaddress
extattrs,ipv6fixedaddress
ipv6addr,ipv6fixedaddress
ipv6prefix,ipv6fixedaddress
ipv6prefix_bits,ipv6fixedaddress
name,ipv6fixedaddress
network,ipv6fixedaddress
network_view,ipv6fixedaddress
options,ipv6fixedaddress
preferred_lifetime,ipv6fixedaddress
template,ipv6fixedaddress
use_domain_name,ipv6fixedaddress
use_domain_name_servers,ipv6fixedaddress
use_options,ipv6fixedaddress
use_preferred_lifetime,ipv6fixedaddress
use_valid_lifetime,ipv6fixedaddress
valid_lifetime,ipv6fixedaddress
auto_create_reversezone,ipv6network
comment,ipv6network
ddns_domainname,ipv6network
ddns_enable_option_fqdn,ipv6network
ddns_generate_hostname,ipv6network
ddns_server_always_updates,ipv6network
ddns_ttl,ipv6network
disable,ipv6network
domain_name,ipv6network
domain_name_servers,ipv6network
enable_ddns,ipv6network
enable_ifmap_publishing,ipv6network
extattrs,ipv6network
members,ipv6network
network,ipv6network
network_container,ipv6network
network_view,ipv6network
options,ipv6network
preferred_lifetime,ipv6network
recycle_leases,ipv6network
template,ipv6network
update_dns_on_lease_renewal,ipv6network
use_ddns_domainname,ipv6network
use_ddns_enable_option_fqdn,ipv6network
use_ddns_generate_hostname,ipv6network
use_ddns_ttl,ipv6network
use_domain_name,ipv6network
use_domain_name_servers,ipv6network
use_enable_ddns,ipv6network
use_enable_ifmap_publishing,ipv6network
use_options,ipv6network
use_preferred_lifetime,ipv6network
use_recycle_leases,ipv6network
use_update_dns_on_lease_renewal,ipv6network
use_valid_lifetime,ipv6network
use_zone_associations,ipv6network
valid_lifetime,ipv6network
zone_associations,ipv6network
auto_create_reversezone,ipv6networkcontainer
comment,ipv6networkcontainer
extattrs,ipv6networkcontainer
network,ipv6networkcontainer
network_container,ipv6networkcontainer
network_view,ipv6networkcontainer
use_zone_associations,ipv6networkcontainer
zone_associations,ipv6networkcontainer
address_type,ipv6range
comment,ipv6range
disable,ipv6range
end_addr,ipv6range
exclude,ipv6range
extattrs,ipv6range
ipv6_end_prefix,ipv6range
ipv6_prefix_bits,ipv6range
ipv6_start_prefix,ipv6range
member,ipv6range
name,ipv6range
network,ipv6range
network_view,ipv6range
recycle_leases,ipv6range
server_association_type,ipv6range
start_addr,ipv6range
template,ipv6range
use_recycle_leases,ipv6range
address,lease
billing_class,lease
binding_state,lease
client_hostname,lease
cltt,lease
discovered_data,lease
ends,lease
hardware,lease
ipv6_duid,lease
ipv6_iaid,lease
ipv6_preferred_lifetime,lease
ipv6_prefix_bits,lease
network,lease
network_view,lease
never_ends,lease
never_starts,lease
next_binding_state,lease
on_commit,lease
on_expiry,lease
on_release,lease
option,lease
protocol,lease
served_by,lease
server_host_name,lease
starts,lease
tsfp,lease
tstp,lease
uid,lease
username,lease
variable,lease
authentication_time,macfilteraddress
comment,macfilteraddress
expiration_time,macfilteraddress
extattrs,macfilteraddress
filter,macfilteraddress
guest_custom_field1,macfilteraddress
guest_custom_field2,macfilteraddress
guest_custom_field3,macfilteraddress
guest_custom_field4,macfilteraddress
guest_email,macfilteraddress
guest_first_name,macfilteraddress
guest_last_name,macfilteraddress
guest_middle_name,macfilteraddress
guest_phone,macfilteraddress
is_registered_user,macfilteraddress
mac,macfilteraddress
never_expires,macfilteraddress
reserved_for_infoblox,macfilteraddress
username,macfilteraddress
host_name,member
access_list,namedacl
comment,namedacl
exploded_access_list,namedacl
extattrs,namedacl
name,namedacl
authority,network
auto_create_reversezone,network
bootfile,network
bootserver,network
comment,network
ddns_domainname,network
ddns_generate_hostname,network
ddns_server_always_updates,network
ddns_ttl,network
ddns_update_fixed_addresses,network
ddns_use_option81,network
deny_bootp,network
disable,network
email_list,network
enable_ddns,network
enable_dhcp_thresholds,network
enable_email_warnings,network
enable_ifmap_publishing,network
enable_snmp_warnings,network
extattrs,network
high_water_mark,network
high_water_mark_reset,network
ignore_dhcp_option_list_request,network
ipv4addr,network
lease_scavenge_time,network
low_water_mark,network
low_water_mark_reset,network
members,network
netmask,network
network,network
network_container,network
network_view,network
nextserver,network
options,network
pxe_lease_time,network
recycle_leases,network
template,network
update_dns_on_lease_renewal,network
use_authority,network
use_bootfile,network
use_bootserver,network
use_ddns_domainname,network
use_ddns_generate_hostname,network
use_ddns_ttl,network
use_ddns_update_fixed_addresses,network
use_ddns_use_option81,network
use_deny_bootp,network
use_email_list,network
use_enable_ddns,network
use_enable_dhcp_thresholds,network
use_enable_ifmap_publishing,network
use_ignore_dhcp_option_list_request,network
use_lease_scavenge_time,network
use_nextserver,network
use_options,network
use_recycle_leases,network
use_update_dns_on_lease_renewal,network
use_zone_associations,network
zone_associations,network
auto_create_reversezone,networkcontainer
comment,networkcontainer
extattrs,networkcontainer
network,networkcontainer
network_container,networkcontainer
network_view,networkcontainer
use_zone_associations,networkcontainer
zone_associations,networkcontainer
comment,networkview
extattrs,networkview
is_default,networkview
name,networkview
always_update_dns,range
authority,range
bootfile,range
bootserver,range
comment,range
ddns_domainname,range
ddns_generate_hostname,range
deny_all_clients,range
deny_bootp,range
disable,range
email_list,range
enable_ddns,range
enable_dhcp_thresholds,range
enable_email_warnings,range
enable_ifmap_publishing,range
enable_snmp_warnings,range
end_addr,range
exclude,range
extattrs,range
failover_association,range
fingerprint_filter_rules,range
high_water_mark,range
high_water_mark_reset,range
ignore_dhcp_option_list_request,range
is_split_scope,range
known_clients,range
lease_scavenge_time,range
logic_filter_rules,range
low_water_mark,range
low_water_mark_reset,range
mac_filter_rules,range
member,range
ms_options,range
ms_server,range
nac_filter_rules,range
name,range
network,range
network_view,range
nextserver,range
option_filter_rules,range
options,range
pxe_lease_time,range
recycle_leases,range
relay_agent_filter_rules,range
server_association_type,range
split_member,range
split_scope_exclusion_percent,range
start_addr,range
template,range
unknown_clients,range
update_dns_on_lease_renewal,range
use_authority,range
use_bootfile,range
use_bootserver,range
use_ddns_domainname,range
use_ddns_generate_hostname,range
use_deny_bootp,range
use_email_list,range
use_enable_ddns,range
use_enable_dhcp_thresholds,range
use_enable_ifmap_publishing,range
use_ignore_dhcp_option_list_request,range
use_known_clients,range
use_lease_scavenge_time,range
use_nextserver,range
use_options,range
use_recycle_leases,range
use_unknown_clients,range
use_update_dns_on_lease_renewal,range
comment,record:a
disable,record:a
discovered_data,record:a
dns_name,record:a
extattrs,record:a
ipv4addr,record:a
name,record:a
ttl,record:a
use_ttl,record:a
view,record:a
zone,record:a
comment,record:aaaa
disable,record:aaaa
discovered_data,record:aaaa
dns_name,record:aaaa
extattrs,record:aaaa
ipv6addr,record:aaaa
name,record:aaaa
ttl,record:aaaa
use_ttl,record:aaaa
view,record:aaaa
zone,record:aaaa
canonical,record:cname
comment,record:cname
disable,record:cname
dns_canonical,record:cname
dns_name,record:cname
extattrs,record:cname
name,record:cname
ttl,record:cname
use_ttl,record:cname
view,record:cname
zone,record:cname
aliases,record:host
comment,record:host
configure_for_dns,record:host
disable,record:host
dns_aliases,record:host
dns_name,record:host
extattrs,record:host
ipv4addrs,record:host
ipv6addrs,record:host
name,record:host
rrset_order,record:host
ttl,record:host
use_ttl,record:host
view,record:host
zone,record:host
bootfile,record:host_ipv4addr
bootserver,record:host_ipv4addr
configure_for_dhcp,record:host_ipv4addr
deny_bootp,record:host_ipv4addr
discovered_data,record:host_ipv4addr
enable_pxe_lease_time,record:host_ipv4addr
host,record:host_ipv4addr
ignore_client_requested_options,record:host_ipv4addr
ipv4addr,record:host_ipv4addr
last_queried,record:host_ipv4addr
mac,record:host_ipv4addr
match_client,record:host_ipv4addr
network,record:host_ipv4addr
nextserver,record:host_ipv4addr
options,record:host_ipv4addr
pxe_lease_time,record:host_ipv4addr
use_bootfile,record:host_ipv4addr
use_bootserver,record:host_ipv4addr
use_deny_bootp,record:host_ipv4addr
use_for_ea_inheritance,record:host_ipv4addr
use_ignore_client_requested_options,record:host_ipv4addr
use_nextserver,record:host_ipv4addr
use_options,record:host_ipv4addr
use_pxe_lease_time,record:host_ipv4addr
address_type,record:host_ipv6addr
configure_for_dhcp,record:host_ipv6addr
discovered_data,record:host_ipv6addr
domain_name,record:host_ipv6addr
domain_name_servers,record:host_ipv6addr
duid,record:host_ipv6addr
host,record:host_ipv6addr
ipv6addr,record:host_ipv6addr
ipv6prefix,record:host_ipv6addr
ipv6prefix_bits,record:host_ipv6addr
match_client,record:host_ipv6addr
options,record:host_ipv6addr
preferred_lifetime,record:host_ipv6addr
use_domain_name,record:host_ipv6addr
use_domain_name_servers,record:host_ipv6addr
use_for_ea_inheritance,record:host_ipv6addr
use_options,record:host_ipv6addr
use_preferred_lifetime,record:host_ipv6addr
use_valid_lifetime,record:host_ipv6addr
valid_lifetime,record:host_ipv6addr
comment,record:mx
disable,record:mx
dns_mail_exchanger,record:mx
dns_name,record:mx
extattrs,record:mx
mail_exchanger,record:mx
name,record:mx
preference,record:mx
ttl,record:mx
use_ttl,record:mx
view,record:mx
zone,record:mx
comment,record:ptr
disable,record:ptr
discovered_data,record:ptr
dns_name,record:ptr
dns_ptrdname,record:ptr
extattrs,record:ptr
ipv4addr,record:ptr
ipv6addr,record:ptr
name,record:ptr
ptrdname,record:ptr
ttl,record:ptr
use_ttl,record:ptr
view,record:ptr
zone,record:ptr
comment,record:srv
disable,record:srv
dns_name,record:srv
dns_target,record:srv
extattrs,record:srv
name,record:srv
port,record:srv
priority,record:srv
target,record:srv
ttl,record:srv
use_ttl,record:srv
view,record:srv
weight,record:srv
zone,record:srv
comment,record:txt
disable,record:txt
dns_name,record:txt
extattrs,record:txt
name,record:txt
text,record:txt
ttl,record:txt
use_ttl,record:txt
view,record:txt
zone,record:txt
dhcp_status,restartservicestatus
dns_status,restartservicestatus
member,restartservicestatus
reporting_status,restartservicestatus
approval_status,scheduledtask
approver,scheduledtask
approver_comment,scheduledtask
automatic_restart,scheduledtask
changed_objects,scheduledtask
execute_now,scheduledtask
execution_status,scheduledtask
execution_time,scheduledtask
scheduled_time,scheduledtask
submit_time,scheduledtask
submitter,scheduledtask
submitter_comment,scheduledtask
task_id,scheduledtask
ticket_number,scheduledtask
objtype,search
search_string,search
blacklist_action,view
blacklist_log_query,view
blacklist_redirect_addresses,view
blacklist_redirect_ttl,view
blacklist_rulesets,view
comment,view
custom_root_name_servers,view
disable,view
dns64_enabled,view
dns64_groups,view
dnssec_enabled,view
dnssec_expired_signatures_enabled,view
dnssec_trusted_keys,view
dnssec_validation_enabled,view
enable_blacklist,view
extattrs,view
filter_aaaa,view
filter_aaaa_list,view
forward_only,view
forwarders,view
is_default,view
lame_ttl,view
match_clients,view
match_destinations,view
name,view
network_view,view
notify_delay,view
nxdomain_log_query,view
nxdomain_redirect,view
nxdomain_redirect_addresses,view
nxdomain_redirect_ttl,view
nxdomain_rulesets,view
recursion,view
root_name_server_type,view
sortlist,view
use_blacklist,view
use_dns64,view
use_dnssec,view
use_filter_aaaa,view
use_forwarders,view
use_lame_ttl,view
use_nxdomain_redirect,view
use_recursion,view
use_root_name_server,view
use_sortlist,view
address,zone_auth
allow_active_dir,zone_auth
allow_gss_tsig_for_underscore_zone,zone_auth
allow_gss_tsig_zone_updates,zone_auth
allow_query,zone_auth
allow_transfer,zone_auth
allow_update,zone_auth
allow_update_forwarding,zone_auth
comment,zone_auth
copy_xfer_to_notify,zone_auth
create_ptr_for_bulk_hosts,zone_auth
create_ptr_for_hosts,zone_auth
create_underscore_zones,zone_auth
disable,zone_auth
disable_forwarding,zone_auth
display_domain,zone_auth
dns_fqdn,zone_auth
dns_soa_email,zone_auth
dns_soa_mname,zone_auth
dnssec_key_params,zone_auth
do_host_abstraction,zone_auth
effective_check_names_policy,zone_auth
effective_record_name_policy,zone_auth
extattrs,zone_auth
external_primaries,zone_auth
external_secondaries,zone_auth
fqdn,zone_auth
grid_primary,zone_auth
grid_primary_shared_with_ms_parent_delegation,zone_auth
grid_secondaries,zone_auth
import_from,zone_auth
is_dnssec_enabled,zone_auth
is_dnssec_signed,zone_auth
last_queried,zone_auth
locked,zone_auth
locked_by,zone_auth
mask_prefix,zone_auth
ms_ad_integrated,zone_auth
ms_allow_transfer,zone_auth
ms_allow_transfer_mode,zone_auth
ms_ddns_mode,zone_auth
ms_managed,zone_auth
ms_primaries,zone_auth
ms_read_only,zone_auth
ms_secondaries,zone_auth
ms_sync_master_name,zone_auth
network_associations,zone_auth
network_view,zone_auth
notify_delay,zone_auth
ns_group,zone_auth
parent,zone_auth
prefix,zone_auth
primary_type,zone_auth
record_name_policy,zone_auth
records_monitored,zone_auth
rr_not_queried_enabled_time,zone_auth
set_soa_serial_number,zone_auth
soa_default_ttl,zone_auth
soa_email,zone_auth
soa_expire,zone_auth
soa_mname,zone_auth
soa_negative_ttl,zone_auth
soa_refresh,zone_auth
soa_retry,zone_auth
soa_serial_number,zone_auth
srgs,zone_auth
update_forwarding,zone_auth
use_allow_active_dir,zone_auth
use_allow_query,zone_auth
use_allow_transfer,zone_auth
use_allow_update,zone_auth
use_allow_update_forwarding,zone_auth
use_check_names_policy,zone_auth
use_copy_xfer_to_notify,zone_auth
use_dnssec_key_params,zone_auth
use_external_primary,zone_auth
use_grid_zone_timer,zone_auth
use_import_from,zone_auth
use_notify_delay,zone_auth
use_record_name_policy,zone_auth
use_soa_email,zone_auth
use_soa_mname,zone_auth
using_srg_associations,zone_auth
view,zone_auth
zone_format,zone_auth
zone_not_queried_enabled_time,zone_auth
address,zone_delegated
comment,zone_delegated
delegate_to,zone_delegated
delegated_ttl,zone_delegated
disable,zone_delegated
display_domain,zone_delegated
dns_fqdn,zone_delegated
enable_rfc2317_exclusion,zone_delegated
extattrs,zone_delegated
fqdn,zone_delegated
locked,zone_delegated
locked_by,zone_delegated
mask_prefix,zone_delegated
ms_ad_integrated,zone_delegated
ms_ddns_mode,zone_delegated
ms_managed,zone_delegated
ms_read_only,zone_delegated
ms_sync_master_name,zone_delegated
parent,zone_delegated
prefix,zone_delegated
use_delegated_ttl,zone_delegated
using_srg_associations,zone_delegated
view,zone_delegated
zone_format,zone_delegated
address,zone_forward
comment,zone_forward
disable,zone_forward
display_domain,zone_forward
dns_fqdn,zone_forward
extattrs,zone_forward
forward_to,zone_forward
forwarders_only,zone_forward
forwarding_servers,zone_forward
fqdn,zone_forward
locked,zone_forward
locked_by,zone_forward
mask_prefix,zone_forward
ms_ad_integrated,zone_forward
ms_ddns_mode,zone_forward
ms_managed,zone_forward
ms_read_only,zone_forward
ms_sync_master_name,zone_forward
parent,zone_forward
prefix,zone_forward
using_srg_associations,zone_forward
view,zone_forward
zone_format,zone_forward
address,zone_stub
comment,zone_stub
disable,zone_stub
disable_forwarding,zone_stub
display_domain,zone_stub
dns_fqdn,zone_stub
extattrs,zone_stub
fqdn,zone_stub
locked,zone_stub
locked_by,zone_stub
mask_prefix,zone_stub
ms_ad_integrated,zone_stub
ms_ddns_mode,zone_stub
ms_managed,zone_stub
ms_read_only,zone_stub
ms_sync_master_name,zone_stub
parent,zone_stub
prefix,zone_stub
soa_email,zone_stub
soa_expire,zone_stub
soa_mname,zone_stub
soa_negative_ttl,zone_stub
soa_refresh,zone_stub
soa_retry,zone_stub
soa_serial_number,zone_stub
stub_from,zone_stub
stub_members,zone_stub
stub_msservers,zone_stub
using_srg_associations,zone_stub
view,zone_stub
zone_format,zone_stub
