action.objectType,event_type,action,status
api.token.create,okta_event_change_app,created,success
app.ad.agent.read-ldap,okta_event_change_account,read,success
app.ad.agent.real-time-sync,okta_event_change_account,modified,success
app.ad.agent.real-time-sync.error,okta_event_change_account,modified,failure
app.ad.login.bad_password,okta_event_authentication,failure,
app.ad.login.success,okta_event_authentication,success,
app.admin.sso.bad_response,okta_event_authentication,failure,
app.admin.sso.no_response,okta_event_authentication,failure,
app.admin.sso.orgapp.notfound,okta_event_authentication,failure,
app.app_instance.change,okta_event_change_app,modified,success
app.app_instance.config-error,okta_event_change_app,modified,failure
app.app_instance.logo_reset,okta_event_change_app,modified,success
app.app_instance.logo_update,okta_event_change_app,modified,success
app.app_instance.outbound_delauth_disabled,okta_event_change_app,modified,success
app.app_instance.outbound_delauth_enabled,okta_event_change_app,modified,success
app.auth.delegated.outbound,okta_event_authentication,success,
app.auth.sso,okta_event_authentication,success,
app.generic.config.app_activated,okta_event_change_app,modified,success
app.generic.config.app_deactivated,okta_event_change_app,modified,success
app.generic.config.app_password_update,okta_event_change_app,modified,success
app.generic.config.app_updated,okta_event_change_app,modified,success
app.generic.config.app_user_update,okta_event_change_app,modified,success
app.generic.config.app_username_update,okta_event_change_app,modified,success
app.generic.import.complete,okta_event_change_app,modified,success
app.generic.import.details.add_custom_object,okta_event_change_app,modified,success
app.generic.import.details.add_group,okta_event_change_app,modified,success
app.generic.import.details.add_user,okta_event_change_account,modified,success
app.generic.import.details.delete_custom_object,okta_event_change_app,deleted,success
app.generic.import.details.delete_group,okta_event_change_app,deleted,success
app.generic.import.details.delete_user,okta_event_change_account,deleted,success
app.generic.import.details.update_custom_object,okta_event_change_app,modified,success
app.generic.import.details.update_group,okta_event_change_account,modified,success
app.generic.import.details.update_user,okta_event_change_account,modified,success
app.generic.import.import_user,okta_event_change_account,modified,success
app.generic.import.new_user,okta_event_change_account,modified,success
app.generic.import.provisioning_data,okta_event_change_app,modified,success
app.generic.import.started,okta_event_change_app,modified,success
app.generic.import.summary.custom_object,okta_event_change_app,read,success
app.generic.import.summary.group,okta_event_change_account,read,success
app.generic.import.summary.group_membership,okta_event_change_account,read,success
app.generic.import.summary.user,okta_event_change_account,read,success
app.generic.import.user_delete,okta_event_change_account,deleted,success
app.generic.import.user_match.complete,okta_event_change_account,modified,success
app.generic.import.user_update,okta_event_change_account,modified,success
app.generic.provision.assign_user_to_app,okta_event_change_account,modified,success
app.generic.provision.deactivate_user_from_app,okta_event_change_account,modified,success
app.generic.reversibility.credentials.recover,okta_event_change_app,modified,success
app.generic.reversibility.individual.app.recovery,okta_event_change_app,modified,success
app.generic.reversibility.personal.app.recovery,okta_event_change_app,modified,success
app.inbound_del_auth.failure.account_not_found,okta_event_authentication,failure,
app.inbound_del_auth.failure.instance_not_found,okta_event_authentication,failure,
app.inbound_del_auth.failure.invalid_login_credentials,okta_event_authentication,failure,
app.inbound_del_auth.failure.invalid_request.could_not_parse_credentials,okta_event_authentication,failure,
app.inbound_del_auth.failure.not_supported,okta_event_authentication,failure,
app.inbound_del_auth.login_success,okta_event_authentication,success,
app.rich_client.account_not_found,okta_event_authentication,failure,
app.rich_client.instance_not_found,okta_event_authentication,failure,
app.rich_client.login_failure,okta_event_authentication,failure,
app.rich_client.login_success,okta_event_authentication,success,
app.rich_client.multiple_accounts_found,okta_event_authentication,success,
app.user_management.activate_user,okta_event_change_account,modified,success
app.user_management.app_group_group_member_import.delete_success,okta_event_change_account,deleted,success
app.user_management.app_group_group_member_import.insert_success,okta_event_change_account,modified,success
app.user_management.app_group_member_import.delete_success,okta_event_change_account,deleted,success
app.user_management.app_group_member_import.insert_success,okta_event_change_account,modified,success
app.user_management.deactivate_user,okta_event_change_account,modified,success
app.user_management.deactivate_user.api_account,okta_event_change_account,modified,success
app.user_management.deprovision_task_complete,okta_event_change_account,modified,success
app.user_management.grouppush.mapping.and.groups.deleted.rule.deleted,okta_event_change_account,deleted,success
app.user_management.grouppush.mapping.app.group.renamed,okta_event_change_account,modified,success
app.user_management.grouppush.mapping.app.group.renamed.failed,okta_event_change_account,modified,failure
app.user_management.grouppush.mapping.created.from.rule,okta_event_change_account,created,success
app.user_management.grouppush.mapping.created.from.rule.error.duplicate,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.created.from.rule.error.validation,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.created.from.rule.errors,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.created.from.rule.warning.duplicate.name,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.created.from.rule.warning.duplicate.name.tobecreated,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.created.from.rule.warning.upsertGroup.duplicate.name,okta_event_change_account,created,failure
app.user_management.grouppush.mapping.deactivated.source.group.renamed,okta_event_change_account,modified,success
app.user_management.grouppush.mapping.deactivated.source.group.renamed.failed,okta_event_change_account,modified,failure
app.user_management.importing_profile,okta_event_change_account,modified,success
app.user_management.provision_user,okta_event_change_account,modified,success
app.user_management.provision_user_failed,okta_event_change_account,modified,failure
app.user_management.provision_user.user_inactive,okta_event_change_account,modified,failure
app.user_management.push_new_user,okta_event_change_account,modified,success
app.user_management.push_password_update,okta_event_change_account,modified,success
app.user_management.push_pending_user,okta_event_change_account,modified,success
app.user_management.push_profile_failure,okta_event_change_account,modified,failure
app.user_management.push_profile_success,okta_event_change_account,modified,success
app.user_management.reactivate_user,okta_event_change_account,modified,success
app.user_management.update_from_master_failed,okta_event_change_account,modified,failure
app.user_management.updating_api_credentials_for_password_change,okta_event_change_account,modified,success
app.user_management.user_group_import.delete_success,okta_event_change_account,deleted,success
app.user_management.user_group_import.upsert_success,okta_event_change_account,created,success
app.user_management.verified_user_with_thirdparty,okta_event_change_account,read,success
core.user_auth.account_locked,okta_event_authentication,failure,
core.user_auth.login_failed,okta_event_authentication,failure,
core.user_auth.login_success,okta_event_authentication,success,
core.user_auth.logout_success,okta_event_authentication,success,
core.user_auth.mfa_bypass_attempted,okta_event_authentication,failure,
core.user_auth.radius.login.failed,okta_event_authentication,failure,
core.user_auth.radius.login.succeeded,okta_event_authentication,success,
core.user_auth.session_expired,okta_event_authentication,failure,
core.user.admin_privilege.granted,okta_event_change_account,modified,success
core.user.admin_privilege.revoked,okta_event_change_account,modified,success
core.user.config.password_update.failure,okta_event_change_account,modified,failure
core.user.config.password_update.success,okta_event_change_account,modified,success
core.user.config.user_activated,okta_event_change_account,modified,success
core.user.config.user_creation.failure,okta_event_change_account,created,failure
core.user.config.user_creation.success,okta_event_change_account,created,success
core.user.config.user_deactivated,okta_event_change_account,modified,success
core.user.config.user_status.password_reset,okta_event_change_account,modified,success
core.user.impersonation.grant.enabled,okta_event_authentication,success,
core.user.impersonation.grant.extended,okta_event_authentication,success,
core.user.impersonation.grant.revoked,okta_event_authentication,success,
core.user.impersonation.session.ended,okta_event_authentication,,
core.user.impersonation.session.initiated,okta_event_authentication,,
core.user.sms.message_sent.factor,okta_event_authentication,,
core.user.sms.message_sent.forgotpw,okta_event_authentication,,
core.user.sms.message_sent.verify,okta_event_authentication,,
cvd.appuser_profile_bootstrapped,okta_event_change_app,modified,success
cvd.mappings_updated,okta_event_change_app,modified,success
api.token.revoke,okta_event_change_app,modified,success
app.ad.agent.dir-invoke,okta_event_change_app,modified,success
app.ad.agent.dir-invoke.error,okta_event_change_app,modified,failure
app.ad.agent.disconnected,okta_event_change_app,modified,success
app.ad.agent.read-ldap.error,okta_event_change_app,read,failure
app.ad.agent.reconnected,okta_event_change_app,modified,success
app.ad.agent.start,okta_event_change_app,modified,success
app.ad.agent.user-auth-and-update,okta_event_authentication,success,
app.ad.agent.user-auth-and-update.error,okta_event_authentication,failure,
app.ad.agent.user_auth,okta_event_authentication,success,
app.ad.agent.user_auth.error,okta_event_authentication,failure,
app.ad.agent.write-ldap,okta_event_change_app,modified,success
app.ad.agent.write-ldap.error,okta_event_change_app,modified,failure
app.ad.config.agent.agent_created,okta_event_change_app,created,success
app.ad.config.agent.agent_deactivated,okta_event_change_app,modified,success
app.ad.config.agent.agent_deleted,okta_event_change_app,deleted,success
app.ad.config.agent.agent_reactivated,okta_event_change_app,modified,success
app.ad.login.expired_password,okta_event_authentication,failure,
app.ad.login.unknown_failure,okta_event_authentication,failure,
app.ad.outbound.delauth.no_connected_agent,okta_event_authentication,failure,
app.ad.outbound.delauth.timeout,okta_event_authentication,failure,
app.ad.password.reset.failure,okta_event_change_account,modified,failure
app.ad.password.reset.success,okta_event_change_account,modified,success
app.ad.password.reset.unlock-failed,okta_event_change_account,modified,failure
app.admin.sso.login.success,okta_event_authentication,success,
app.app_editor.app.create,okta_event_change_app,created,success
app.app_editor.app.update,okta_event_change_app,modified,success
app.app_instance.sign_on_policy.change,okta_event_change_app,modified,success
app.app_instance.sign_on_policy.delete_rule,okta_event_change_app,deleted,success
app.app_instance.sign_on_policy.new_rule,okta_event_change_app,created,success
app.boxnet.api.error.create_new_user,okta_event_change_app,created,failure
app.boxnet.api.error.delete.group,okta_event_change_app,deleted,failure
app.boxnet.api.error.validate_parent_folder,okta_event_change_app,modified,failure
app.generic.config.app_deleted,okta_event_change_app,deleted,success
app.google.user_management.failure.api_service_forbidden,okta_event_change_app,failure,
app.jira.api.error.download.users,okta_event_change_app,,
app.ldap.login.success,okta_event_authentication,success,
app.ldap.login.unknown_failure,okta_event_authentication,failure,
app.ldap.password_reset.passwords_do_not_match,okta_event_change_account,modified,failure
app.netsuite.api.error.auth,okta_event_change_account,read,failure
app.netsuite.api.error.push_password_update,okta_event_change_account,modified,failure
app.office365.api.error.create.user,okta_event_change_account,created,failure
app.office365.api.error.endpoint.unavailable,okta_event_change_account,read,failure
app.office365.api.error.push.profile,okta_event_change_account,modified,failure
app.office365.api.error.validate.creds,okta_event_change_account,read,failure
app.salesforce.user_management.failure.invalid_api_credentials,okta_event_change_app,failure,
app.salesforce.user_management.failure.provisioning,okta_event_change_app,failure,
app.user_management.grouppush.mapping.created,okta_event_change_app,created,success
app.user_management.grouppush.mapping.okta.users.ignored,okta_event_change_app,modified,success
app.user_management.grouppush.mapping.update.or.delete.failed.with.error,okta_event_change_app,modified,failure
app.user_management.push_profile_update,okta_event_change_app,modified,success
app.workday.api.error.get-worker-by-id,okta_event_change_app,failure,
app.workday.api.error.validate,okta_event_change_app,failure,
core.user.config.profile_update.success,okta_event_change_account,modified,success
core.user.email.message_sent.self_service.password_reset,okta_event_change_account,,
core.user.factor.activate,okta_event_change_account,modified,success
core.user.factor.attempt_fail,okta_event_authentication,failure,
core.user.factor.attempt_success,okta_event_authentication,success,
core.user.factor.deactivate,okta_event_change_account,modified,success
core.user.factor.reset_all,okta_event_change_account,modified,success
core.user.factor.update,okta_event_change_account,modified,success
core.user.sms.message_sent.self_service.password_reset,okta_event_change_account,,
core.user_auth.account_auto_unlocked,okta_event_authentication,success,
core.user_auth.duo.invalid_integration,okta_event_authentication,failure,
core.user_auth.saml2.inbound_saml_login_failed,okta_event_authentication,failure,
core.user_auth.self_service.password_reset,okta_event_change_account,modified,success
core.user_auth.self_service.password_reset.invalid_recovery_token,okta_event_change_account,modified,failure
core.user_auth.self_service.password_reset.invalid_security_answer,okta_event_change_account,modified,failure
core.user_auth.self_service.password_reset.shared_email,okta_event_change_account,modified,success
core.user_auth.self_service.password_reset.unknown_user,okta_event_change_account,modified,failure
core.user_group_member.user_add,okta_event_change_account,created,success
core.user_group_member.user_remove,okta_event_change_account,deleted,success
cvd.user_profile_bootstrapped,okta_event_change_app,modified,success
iwa.auth,okta_event_change_app,modified,success
iwa.created_successfully,okta_event_change_app,created,success
platform.group_app_assignment.app_add,okta_event_change_app,created,success
platform.group_app_assignment.app_edit,okta_event_change_app,modified,success
platform.group_app_assignment.app_remove,okta_event_change_app,deleted,success
policy.activated,okta_event_change_app,modified,success
policy.created,okta_event_change_app,created,success
policy.deactivated,okta_event_change_app,modified,success
policy.deleted,okta_event_change_app,deleted,success
policy.rule.added,okta_event_change_app,created,success
policy.rule.deleted,okta_event_change_app,deleted,success
policy.rule.updated,okta_event_change_app,modified,success
policy.updated,okta_event_change_app,modified,success
app.ad.api.user_import.warn.skipped_user.internal_object,okta_event_change_account,created,failure
app.ad.api.user_import.warn.skipped_user.missing_required_attribute,okta_event_change_account,created,failure
app.office365.license.conversion.job.processing.app.instance,okta_event_change_app,read,success
app.office365.license.conversion.job.skipping.missing.creds.app.instance,okta_event_change_app,read,success
app.servicenow_app2.api.error.check.user.exists,okta_event_authentication,failure,
app.servicenow_app2.api.error.validation,okta_event_authentication,failure,
app.veeva_vault.api.error.create.new.user,okta_event_change_account,created,failure
core.user_auth.idp.attribute_schema_error,okta_event_authentication,failure,
core.user_auth.idp.saml.login_success,okta_event_authentication,success,
cvd.user_profile_updated,okta_event_change_app,modified,success