_key,Category,Description,FredID,Frequency,Name,URL
5f2fd8e516e1ee3a18003241,Manufacturing,"U.S. Census Bureau, Value of Manufacturers' New Orders for Consumer Goods Industries",ACOGNO,Monthly,Value of Manufacturers' New Orders for Consumer Goods Industries,https://fred.stlouisfed.org/series/ACOGNO
5f2fd8e516e1ee3a18003242,Corporate Bonds,"This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate C Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market.",BAMLH0A3HYC,Daily,ICE BofAML US High Yield CCC or Below Option-Adjusted Spread,https://fred.stlouisfed.org/series/BAMLH0A3HYC
5f2fd8e516e1ee3a18003243,Corporate Bonds,"This data represents the effective yield of the ICE BofAML US Corporate C Index, a subset of the ICE BofAML US High Yield Master II Index tracking the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market.",BAMLH0A3HYCEY,Daily,ICE BofAML US High Yield CCC or Below Effective Yield,https://fred.stlouisfed.org/series/BAMLH0A3HYCEY
5f2fd8e516e1ee3a18003244,Monetary Data,The series equals total balances maintained plus currency in circulation.,BOGMBASEW,Weekly,Monetary Base Total,https://fred.stlouisfed.org/series/BOGMBASEW
5f2fd8e516e1ee3a18003245,Consumer,"The Consumer Price Index for All Urban Consumers: All Items (CPIAUCSL) is a measure of the average monthly change in the price for goods and services paid by urban consumers between any two time periods. This particular index includes roughly 88 percent of the total population. - Units:  Index 1982-1984=100, Seasonally Adjusted",CPIAUCSL,Monthly,Consumer Price Index for All Urban Consumers: All Items,fred.stlouisfed.org/series/CPIAUCSL
5f2fd8e516e1ee3a18003246,Housing,The S&P CoreLogic Case-Shiller U.S. National Home Price NSA Index is a composite of single-family home price indices for the nine U.S. Census divisions and is calculated monthly. Not Seasonally Adjusted,CSUSHPINSA,Monthly,S&P/Case-Shiller U.S. National Home Price Index,https://fred.stlouisfed.org/series/CSUSHPINSA
5f2fd8e516e1ee3a18003247,Corporate Bonds,Moody's Seasoned Aaa Corporate Bond Yield These instruments are based on bonds with maturities 20 years and above. ,DAAA,Daily,Moody's Seasoned Aaa Corporate Bond Yield,https://fred.stlouisfed.org/series/DAAA
5f2fd8e516e1ee3a18003248,Corporate Bonds,Moody's Seasoned Baa Corporate Bond Yield These instruments are based on bonds with maturities 20 years and above.,DBAA,Daily,Moody's Seasoned Baa Corporate Bond Yield,https://fred.stlouisfed.org/series/DBAA
5f2fd8e516e1ee3a18003249,Commodities,"Dollars per Barrel, Not Seasonally Adjusted",DCOILWTICO,Daily,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma",https://fred.stlouisfed.org/series/DCOILWTICO
5f2fd8e516e1ee3a1800324a,Exchange Rates,Brazil / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXBZUS,Daily,Brazil / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXBZUS
5f2fd8e516e1ee3a1800324b,Exchange Rates,Canada / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXCAUS,Daily,Canada / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXCAUS
5f2fd8e516e1ee3a1800324c,Transportation,"U.S. Bureau of Economic Analysis, Light Weight Vehicle Sales: Autos and Light Trucks",ALTSALES,Monthly,Light Weight Vehicle Sales,https://fred.stlouisfed.org/series/ALTSALES
5f2fd8e516e1ee3a1800324d,Exchange Rates,China / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXCHUS,Daily,China / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXCHUS
5f2fd8e516e1ee3a1800324e,Exchange Rates,India / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXINUS,Daily,India / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXINUS
5f2fd8e516e1ee3a1800324f,Exchange Rates,Japan / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXJPUS,Daily,Japan / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXJPUS
5f2fd8e516e1ee3a18003250,Exchange Rates,South Korea / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXKOUS,Daily,South Korea / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXKOUS
5f2fd8e516e1ee3a18003251,Exchange Rates,Mexico / U.S. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXMXUS,Daily,Mexico / U.S. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXMXUS
5f2fd8e516e1ee3a18003252,Exchange Rates,U.S. / Australia Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSAL,Daily,U.S. / Australia Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSAL
5f2fd8e516e1ee3a18003253,Exchange Rates,U.S. / Euro Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSEU,Daily,U.S. / Euro Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSEU
5f2fd8e516e1ee3a18003254,Exchange Rates,U.S. / U.K. Foreign Exchange Rate Noon buying rates in New York City for cable transfers payable in foreign currencies.,DEXUSUK,Daily,U.S. / U.K. Foreign Exchange Rate,https://fred.stlouisfed.org/series/DEXUSUK
5f2fd8e516e1ee3a18003255,Interest Rates,"The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. When a depository institution has surplus balances in its reserve account, it lends to other banks in need of larger balances. In simpler terms, a bank with excess cash, which is often referred to as liquidity, will lend to another bank that needs to quickly raise liquidity.",DFF,Daily,Effective Federal Funds Rate,https://fred.stlouisfed.org/series/DFF
5f2fd8e516e1ee3a18003256,Manufacturing,"U.S. Bureau of the Census, Manufacturers' New Orders: Durable Goods",DGORDER,Monthly,Manufacturers' New Orders: Durable Goods,https://fred.stlouisfed.org/series/DGORDER
5f2fd8e516e1ee3a18003257,Manufacturing,"U.S. Census Bureau, Value of Manufacturers' New Orders for All Manufacturing Industries",AMTMNO,Monthly,Value of Manufacturers' New Orders for All Manufacturing Industries,https://fred.stlouisfed.org/series/AMTMNO
5f2fd8e516e1ee3a18003258,Interest Rates,Board of Governors of the Federal Reserve System 1-Year Treasury Constant Maturity Rate,DGS1,Daily,1-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS1
5f2fd8e516e1ee3a18003259,Interest Rates,Board of Governors of the Federal Reserve System 10-Year Treasury Constant Maturity Rate,DGS10,Daily,10-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS10
5f2fd8e516e1ee3a1800325a,Interest Rates,Board of Governors of the Federal Reserve System 1-Month Treasury Constant Maturity Rate,DGS1MO,Daily,1-Month Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS1MO
5f2fd8e516e1ee3a1800325b,Interest Rates,Board of Governors of the Federal Reserve System 2-Year Treasury Constant Maturity Rate,DGS2,Daily,2-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS2
5f2fd8e516e1ee3a1800325c,Interest Rates,Board of Governors of the Federal Reserve System 20-Year Treasury Constant Maturity Rate,DGS20,Daily,20-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS20
5f2fd8e516e1ee3a1800325d,Interest Rates,Board of Governors of the Federal Reserve System 3-Year Treasury Constant Maturity Rate,DGS3,Daily,5-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS3
5f2fd8e516e1ee3a1800325e,Interest Rates,Board of Governors of the Federal Reserve System 30-Year Treasury Constant Maturity Rate,DGS30,Daily,30-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS30
5f2fd8e516e1ee3a1800325f,Interest Rates,Board of Governors of the Federal Reserve System 3-Month Treasury Constant Maturity Rate,DGS3MO,Daily,3-Month Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS3MO
5f2fd8e516e1ee3a18003260,Interest Rates,Board of Governors of the Federal Reserve System 5-Year Treasury Constant Maturity Rate,DGS5,Daily,5-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS5
5f2fd8e516e1ee3a18003261,Interest Rates,Board of Governors of the Federal Reserve System 6-Month Treasury Constant Maturity Rate,DGS6MO,Daily,6-Month Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS6MO
5f2fd8e516e1ee3a18003262,Corporate Bonds,"This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate AAA Index, a subset of the ICE BofAML US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market.",BAMLC0A1CAAA,Daily,ICE BofAML US Corporate AAA Option-Adjusted Spread,https://fred.stlouisfed.org/series/BAMLC0A1CAAA
5f2fd8e516e1ee3a18003263,Interest Rates,Board of Governors of the Federal Reserve System 7-Year Treasury Constant Maturity Rate,DGS7,Daily,7-Year Treasury Constant Maturity Rate,https://fred.stlouisfed.org/series/DGS7
5f2fd8e516e1ee3a18003264,Interest Rates,"Board of Governors of the Federal Reserve System (US), 3-Month Treasury Bill: Secondary Market Rate",DTB3,Daily,3-Month Treasury Bill: Secondary Market Rate,https://fred.stlouisfed.org/series/DTB3
5f2fd8e516e1ee3a18003265,Exchange Rates,A weighted average of the foreign exchange value of the U.S. dollar against the currencies of a broad group of major U.S. trading partners.,DTWEXB,Daily,Trade Weighted U.S. Dollar Index: Broad,https://fred.stlouisfed.org/series/DTWEXB
5f2fd8e516e1ee3a18003266,Exchange Rates,A weighted average of the foreign exchange value of the U.S. dollar against a subset of the broad index currencies that circulate widely outside the country of issue.,DTWEXM,Daily,Trade Weighted U.S. Dollar Index: Major Currencies,https://fred.stlouisfed.org/series/DTWEXM
5f2fd8e516e1ee3a18003267,Interest Rates,"The federal funds rate is the interest rate at which depository institutions trade federal funds (balances held at Federal Reserve Banks) with each other overnight. When a depository institution has surplus balances in its reserve account, it lends to other banks in need of larger balances.",FEDFUNDS,Monthly,Effective Federal Funds Rate,https://fred.stlouisfed.org/series/FEDFUNDS
5f2fd8e516e1ee3a18003268,GDP,"Gross domestic product (GDP), the featured measure of U.S. output, is the market value of the goods and services produced by labor and property located in the United States.",GDP,Quarterly,Gross Domestic Product,https://fred.stlouisfed.org/series/GDP
5f2fd8e516e1ee3a18003269,GDP,Real gross domestic product is the inflation adjusted value of the goods and services produced by labor and property located in the United States.,GDPC1,Quarterly,Real Gross Domestic Product,https://fred.stlouisfed.org/series/GDPC1
5f2fd8e516e1ee3a1800326a,Employment,"U.S. Employment and Training Administration, Initial Unemployment Claims - Units:  Number, Seasonally Adjusted",ICSA,Weekly,Initial Claims,fred.stlouisfed.org/series/ICSA
5f2fd8e516e1ee3a1800326b,Industrial Production,"The Industrial Production Index (INDPRO) is an economic indicator that measures real output for all facilities located in the United States manufacturing, mining, and electric, and gas utilities.",INDPRO,Monthly,Industrial Production Index,https://fred.stlouisfed.org/series/INDPRO
5f2fd8e516e1ee3a1800326c,Monetary Data,M1 includes funds that are readily accessible for spending.,M1,Weekly,M1 Money Stock,https://fred.stlouisfed.org/series/M1
5f2fd8e516e1ee3a1800326d,Corporate Bonds,"This data represents the effective yield of the ICE BofAML US Corporate AAA Index, a subset of the ICE BofAML US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market.",BAMLC0A1CAAAEY,Daily,ICE BofAML US Corporate AAA Effective Yield,https://fred.stlouisfed.org/series/BAMLC0A1CAAAEY
5f2fd8e516e1ee3a1800326e,Monetary Data,M2 includes a broader set of financial assets held principally by households.,M2,Weekly,M2 Money Stock,https://fred.stlouisfed.org/series/M2
5f2fd8e516e1ee3a1800326f,Consumer,"Estimation of Median Incomes. The Census Bureau has changed the methodology for computing median income over time. - Units:  2018 CPI-U-RS Adjusted Dollars, Not Seasonally Adjusted",MEHOINUSA672N,Annual,Real Median Household Income in the United States,fred.stlouisfed.org/series/MEHOINUSA672N
5f2fd8e516e1ee3a18003270,Interest Rates,"Freddie Mac, 30-Year Fixed Rate Mortgage Average in the United States",MORTGAGE30US,Weekly,30-Year Fixed Rate Mortgage Average,https://fred.stlouisfed.org/series/MORTGAGE30US
5f2fd8e516e1ee3a18003271,Employment,"Automatic Data Processing, Inc., Total Nonfarm Private Payroll Employment - Units:  Thousands, Seasonally Adjusted",NPPTTL,Monthly,Total Nonfarm Private Payroll Employment,fred.stlouisfed.org/series/NPPTTL
5f2fd8e516e1ee3a18003272,Employment,"Total Nonfarm, commonly known as Total Nonfarm Payroll, is a measure of the number of U.S. workers in the economy that excludes proprietors, private household employees, unpaid volunteers, farm employees, and the unincorporated self-employed. - Units:  Thousands of Persons, Seasonally Adjusted",PAYEMS,Monthly,All Employees: Total Nonfarm Payrolls,fred.stlouisfed.org/series/PAYEMS
5f2fd8e516e1ee3a18003273,Consumer,"A Guide to the National Income and Product Accounts of the United States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf) - Units:  Billions of Dollars, Seasonally Adjusted Annual Rate",PCE,Monthly,Personal Consumption Expenditures,fred.stlouisfed.org/series/PCE
5f2fd8e516e1ee3a18003274,Housing,New Private Housing Units Authorized by Building Permits,PERMIT,Monthly,New Private Housing Units Authorized by Building Permits,https://fred.stlouisfed.org/series/PERMIT
5f2fd8e516e1ee3a18003275,Financial Activity Measures,"The STLFSI2 measures the degree of financial stress in the markets and is constructed from 18 weekly data series, all of which are weekly averages of daily data series: seven interest rates, six yield spreads, and five other indicators.  Zero is viewed as representing normal financial market conditions. Values below zero suggest below-average financial market stress, while values above zero suggest above-average financial market stress.",STLFSI2,Weekly,St. Louis Fed Financial Stress Index,https://fred.stlouisfed.org/series/STLFSI2
5f2fd8e516e1ee3a18003276,Interest Rates,Series is calculated as the spread between 10-Year Treasury Constant Maturity (BC_10YEAR) and 2-Year Treasury Constant Maturity (BC_2YEAR). Both underlying series are published at the U.S. Treasury Department.,T10Y2Y,Daily,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,https://fred.stlouisfed.org/series/T10Y2Y
5f2fd8e516e1ee3a18003277,Corporate Bonds,"This data represents the Option-Adjusted Spread (OAS) of the ICE BofAML US Corporate BBB Index, a subset of the ICE BofAML US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market.",BAMLC0A4CBBB,Daily,ICE BofAML US Corporate BBB Option-Adjusted Spread,https://fred.stlouisfed.org/series/BAMLC0A4CBBB
5f2fd8e516e1ee3a18003278,Interest Rates,"Board of Governors of the Federal Reserve System (US), 3-Month Treasury Bill: Secondary Market Rate",TB3MS,Monthly,3-Month Treasury Bill Secondary Market Rate,https://fred.stlouisfed.org/series/TB3MS
5f2fd8e516e1ee3a18003279,Transportation,"U.S. Bureau of Economic Analysis, Total Vehicle Sales Millions of Units, Seasonally Adjusted Annual Rate",TOTALSA,Monthly,Total Vehicle Sales,https://fred.stlouisfed.org/series/TOTALSA
5f2fd8e516e1ee3a1800327a,Banking,"Board of Governors of the Federal Reserve System (US), Commercial and Industrial Loans, All Commercial Banks",TOTCI,Weekly,Commercial and Industrial Loans: All Commercial Banks,https://fred.stlouisfed.org/series/TOTCI
5f2fd8e516e1ee3a1800327b,Employment,"The unemployment rate represents the number of unemployed as a percentage of the labor force. Labor force data are restricted to people 16 years of age and older, who currently reside in 1 of the 50 states or the District of Columbia, who do not reside in institutions.",UNRATE,Monthly,Civilian Unemployment Rate,https://fred.stlouisfed.org/series/UNRATE
5f2fd8e516e1ee3a1800327c,Financial Activity Measures,"The leading index for each state predicts the six-month growth rate of the state's coincident index. In addition to the coincident index, the models include other variables that lead the economy: state-level housing permits (1 to 4 units), state initial unemployment insurance claims, delivery times from the Institute for Supply Management (ISM) manufacturing survey, and the interest rate spread between the 10-year Treasury bond and the 3-month Treasury bill.",USSLIND,Monthly,Leading Index for the United States,https://fred.stlouisfed.org/series/USSLIND
5f2fd8e516e1ee3a1800327d,Corporate Bonds,"This data represents the effective yield of the ICE BofAML US Corporate BBB Index, a subset of the ICE BofAML US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publically issued in the US domestic market.",BAMLC0A4CBBBEY,Daily,ICE BofAML US Corporate BBB Effective Yield,https://fred.stlouisfed.org/series/BAMLC0A4CBBBEY
5f2fd8e516e1ee3a1800327e,Corporate Bonds,The BofA Merrill Lynch Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve.,BAMLH0A0HYM2,Daily,ICE BofAML US High Yield Master II Option-Adjusted Spread,https://fred.stlouisfed.org/series/BAMLH0A0HYM2
5f2fd8e516e1ee3a1800327f,Corporate Bonds,"This data represents the effective yield of the ICE BofAML US High Yield Master II Index, which tracks the performance of US dollar denominated below investment grade rated corporate debt publically issued in the US domestic market.",BAMLH0A0HYM2EY,Daily,ICE BofAML US High Yield Master II Effective Yield,https://fred.stlouisfed.org/series/BAMLH0A0HYM2EY
5f2fd8e516e1ee3a18003280,Sentiment,Sentiment,MICH,Monthly,University of Michigan Inflation Expectation,https://fred.stlouisfed.org/series/MICH
5f2fd8e516e1ee3a18003281,Volatility Indexes,VIX measures market expectation of near term volatility conveyed by stock index option prices,VIXCLS,Daily,CBOE Volatility Index - VIX,https://fred.stlouisfed.org/series/VIXCLS
5f2fd8e516e1ee3a18003282,Interest Rates,Rate posted by a majority of top 25 (by assets in domestic offices) insured U.S.-chartered commercial banks. Prime is one of several base rates used by banks to price short-term business loans.,DPRIME,Daily,Bank Prime Loan Rate,https://fred.stlouisfed.org/series/DPRIME
5f2fd8e516e1ee3a18003283,Cryptocurrencies,"Coinbase Bitcoin Daily, 7-Day  All data is as of 5 PM PST.",CBBTCUSD,Daily,Coinbase Bitcoin,https://fred.stlouisfed.org/series/CBBTCUSD
5f2fd8e516e1ee3a18003284,Commercial Paper,"Board of Governors of the Federal Reserve System (US), 3-Month AA Financial Commercial Paper Rate",DCPF3M,Daily,3-Month AA Financial Commercial Paper Rate,https://fred.stlouisfed.org/series/DCPF3M
5f2fd8e516e1ee3a18003285,Volatility Indexes,"Chicago Board Options Exchange, CBOE Gold ETF Volatility Index",GVZCLS,Daily,CBOE Gold ETF Volatility Index,https://fred.stlouisfed.org/series/GVZCLS
5f2fd8e516e1ee3a18003286,Volatility Indexes,"Chicago Board Options Exchange, CBOE Crude Oil ETF Volatility Index",OVXCLS,Daily,CBOE Crude Oil ETF Volatility Index,https://fred.stlouisfed.org/series/OVXCLS
5f2fd8e516e1ee3a18003287,Recession Indicators,This time series is an interpretation of US Business Cycle Expansions and Contractions data provided by The National Bureau of Economic Research (NBER),USRECD,Daily,NBER based Recession Indicators for the United States,https://fred.stlouisfed.org/series/USRECD
5f2fd8e516e1ee3a18003288,Recession Indicators,This time series is an interpretation of Organisation of Economic Development (OECD) Composite Leading Indicators,USARECDM,Daily,OECD based Recession Indicators for the United States,https://fred.stlouisfed.org/series/USARECDM
5f2fd8e516e1ee3a18003289,Cryptocurrencies,"Coinbase Ethereum Daily, 7-Day  All data is as of 5 PM PST.",CBETHUSD,Daily,Coinbase Ethereum,https://fred.stlouisfed.org/series/CBETHUSD
5f2fd8e516e1ee3a1800328a,Cryptocurrencies,"Coinbase Litecoin Daily, 7-Day  All data is as of 5 PM PST.",CBLTCUSD,Daily,Coinbase Litecoin,https://fred.stlouisfed.org/series/CBLTCUSD
5f2fd8e516e1ee3a1800328b,Cryptocurrencies,"Coinbase Bitcoin Cash Daily, 7-Day  All data is as of 5 PM PST.",CBBCHUSD,Daily,Coinbase Bitcoin Cash,https://fred.stlouisfed.org/series/CBBCHUSD
5f2fd8e516e1ee3a1800328c,Monetary Data,Demand deposits plus other checkable deposits. Calculated by the Federal Reserve Bank of St. Louis.,TCD,Weekly,Total Checkable Deposits,https://fred.stlouisfed.org/series/TCD
5f2fd8e516e1ee3a1800328d,Monetary Data,"The savings deposits component of M2 consists of passbook-type savings deposits as well as MMDAs at banks and thrifts. This item is reported on the FR 2900 and, for institutions that do not file the FR 2900, is estimated using data reported on the Call Reports.",SAVINGS,Weekly,Total Savings Deposits at all Depository Institutions,https://fred.stlouisfed.org/series/SAVINGS
5f2fd8e516e1ee3a1800328e,Monetary Data,"Currency in circulation includes paper currency and coin held both by the public and in the vaults of depository institutions. - Units:  Millions of Dollars, Not Seasonally Adjusted",MBCURRCIRW,Weekly,Monetary Base Currency in Circulation,fred.stlouisfed.org/series/MBCURRCIRW
5f2fd8e516e1ee3a1800328f,Financial Activity Measures,Kansas City Financial Stress Index,KCFSI,Monthly,Kansas City Financial Stress Index,https://fred.stlouisfed.org/series/KCFSI
5f2fd8e516e1ee3a18003290,Financial Activity Measures,"The Chicago Fed's National Financial Conditions Index. Positive values of the NFCI indicate financial conditions that are tighter than average, while negative values indicate financial conditions that are looser than average.",NFCI,Weekly,Chicago Fed National Financial Conditions Index,https://fred.stlouisfed.org/series/NFCI
5f2fd8e516e1ee3a18003291,Commodities,"U.S. Energy Information Administration, Crude Oil Prices: Brent - Europe Dollars per Barrel, Not Seasonally Adjusted",DCOILBRENTEU,Daily,Crude Oil Prices: Brent - Europe,https://fred.stlouisfed.org/series/DCOILBRENTEU
5f2fd8e516e1ee3a18003292,Commodities,"U.S. Energy Information Administration, Kerosene-Type Jet Fuel Prices: U.S. Gulf Coast",DJFUELUSGULF,Daily, Kerosene-Type Jet Fuel Prices: U.S. Gulf Coast,https://fred.stlouisfed.org/series/DJFUELUSGULF
5f2fd8e516e1ee3a18003293,Commodities,"U.S. Energy Information Administration, No. 2 Heating Oil Prices: New York Harbor",DHOILNYH,Daily,No. 2 Heating Oil Prices: New York Harbor,https://fred.stlouisfed.org/series/DHOILNYH
5f2fd8e516e1ee3a18003294,Commodities,"U.S. Energy Information Administration, Conventional Gasoline Prices: U.S. Gulf Coast, Regular",DGASUSGULF,Daily,"Conventional Gasoline Prices: U.S. Gulf Coast, Regular",https://fred.stlouisfed.org/series/DGASUSGULF
5f2fd8e516e1ee3a18003295,Commodities,"U.S. Energy Information Administration, Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: New York Harbor Dollars per Gallon, Not Seasonally Adjusted",DDFUELNYH,Daily,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: New York Harbor,https://fred.stlouisfed.org/series/DDFUELNYH
5f2fd8e516e1ee3a18003296,Commodities,"U.S. Energy Information Administration, Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: Los Angeles Dollars per Gallon, Not Seasonally Adjusted",DDFUELLA,Daily,Ultra-Low-Sulfur No. 2 Diesel Fuel Prices: Los Angeles,https://fred.stlouisfed.org/series/DDFUELLA
